latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
19.29701,97.930695,266.0,25200,Asia/Bangkok,GMT+7

time,weather_code (wmo code),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),cloud_cover_mean (%),cloud_cover_max (%),cloud_cover_min (%),relative_humidity_2m_mean (%),relative_humidity_2m_min (%),relative_humidity_2m_max (%),surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa),visibility_mean (undefined),visibility_min (undefined),visibility_max (undefined),winddirection_10m_dominant (°),wind_speed_10m_mean (km/h),wind_speed_10m_min (km/h),vapour_pressure_deficit_max (kPa)
2019-01-01,51,21.0,26.3,17.4,1.70,5.4,45,36,67,6,86,57,100,987.3,990.3,984.9,NaN,NaN,NaN,45,2.9,1.4,1.46
2019-01-02,3,21.1,27.6,15.7,0.00,6.4,59,71,100,6,78,45,100,987.1,989.9,984.6,NaN,NaN,NaN,59,3.1,0.5,2.02
2019-01-03,3,20.7,28.0,15.3,0.00,6.6,18,49,100,4,74,36,99,987.4,990.6,985.3,NaN,NaN,NaN,18,2.7,0.7,2.43
2019-01-04,3,20.6,29.1,12.5,0.00,5.2,339,66,100,2,73,40,100,986.7,990.2,984.3,NaN,NaN,NaN,339,2.2,0.4,2.44
2019-01-05,3,23.0,31.8,15.5,0.00,7.3,333,85,100,34,75,42,99,985.2,988.8,982.2,NaN,NaN,NaN,333,2.9,0.8,2.72
2019-01-06,53,24.0,31.2,19.3,2.00,7.7,76,31,75,2,79,48,95,985.0,987.4,982.8,NaN,NaN,NaN,76,3.0,1.0,2.36
2019-01-07,63,24.1,29.6,20.3,4.40,8.9,346,78,100,22,82,53,100,984.0,986.8,981.4,NaN,NaN,NaN,346,2.6,0.4,1.97
2019-01-08,65,21.0,21.7,20.4,76.80,5.9,270,100,100,98,100,93,100,983.2,984.8,981.8,NaN,NaN,NaN,270,2.9,0.8,0.17
2019-01-09,65,21.2,23.4,18.9,48.50,5.6,316,77,100,18,97,89,100,983.5,985.7,981.7,NaN,NaN,NaN,316,2.7,0.0,0.33
2019-01-10,53,22.7,27.1,20.0,3.70,8.3,134,57,100,11,92,71,100,983.6,986.1,981.6,NaN,NaN,NaN,134,2.7,0.4,1.02
2019-01-11,51,22.7,27.6,18.7,0.60,5.6,65,55,88,15,85,62,99,984.3,987.1,982.2,NaN,NaN,NaN,65,3.0,0.5,1.39
2019-01-12,3,22.3,28.9,17.7,0.00,5.7,112,88,100,23,84,55,100,984.3,987.4,982.2,NaN,NaN,NaN,112,1.7,0.0,1.78
2019-01-13,3,22.4,29.1,17.6,0.00,4.1,77,66,100,5,81,51,98,984.2,987.4,982.0,NaN,NaN,NaN,77,2.1,0.7,1.98
2019-01-14,2,21.8,29.1,16.0,0.00,5.2,101,23,62,0,77,45,93,982.5,985.8,980.4,NaN,NaN,NaN,101,2.9,0.7,2.20
2019-01-15,3,21.3,28.6,15.8,0.00,5.2,137,24,86,0,71,45,88,982.1,985.6,980.2,NaN,NaN,NaN,137,3.1,0.8,2.17
2019-01-16,2,20.5,28.1,13.6,0.00,4.8,9,19,52,0,65,35,85,983.3,986.4,981.4,NaN,NaN,NaN,9,3.1,0.4,2.49
2019-01-17,3,20.2,28.4,12.5,0.00,7.8,91,34,100,0,79,50,100,983.6,986.9,981.7,NaN,NaN,NaN,91,2.4,0.0,1.94
2019-01-18,3,22.0,28.6,16.7,0.00,8.3,208,49,100,6,79,46,100,983.6,986.7,981.1,NaN,NaN,NaN,208,3.1,0.7,2.10
2019-01-19,53,22.0,29.5,15.8,1.70,8.0,172,17,100,1,77,40,99,983.4,986.3,980.9,NaN,NaN,NaN,172,3.6,0.7,2.49
2019-01-20,3,22.3,29.8,16.5,0.00,7.4,253,17,93,0,68,34,90,983.4,986.5,980.8,NaN,NaN,NaN,253,3.5,0.5,2.71
2019-01-21,0,22.5,29.9,15.8,0.00,7.2,267,0,5,0,57,29,82,984.1,987.4,982.1,NaN,NaN,NaN,267,3.3,0.5,2.91
2019-01-22,2,22.0,30.5,14.8,0.00,8.8,275,7,59,0,56,30,83,984.5,987.4,982.2,NaN,NaN,NaN,275,3.5,0.8,3.02
2019-01-23,0,21.4,30.2,14.6,0.00,5.5,343,1,8,0,58,31,80,984.6,987.9,982.3,NaN,NaN,NaN,343,3.2,0.4,2.93
2019-01-24,0,21.8,30.6,13.8,0.00,5.1,257,0,1,0,57,28,81,984.5,987.6,982.7,NaN,NaN,NaN,257,3.1,0.4,3.15
2019-01-25,2,21.9,31.0,14.4,0.00,7.0,334,10,66,0,57,27,83,985.1,988.7,982.9,NaN,NaN,NaN,334,2.4,0.8,3.28
2019-01-26,3,21.3,31.1,12.3,0.00,7.4,150,31,84,2,66,28,99,985.4,988.8,983.1,NaN,NaN,NaN,150,2.8,0.7,3.24
2019-01-27,3,22.2,30.7,15.2,0.00,4.2,60,26,95,3,66,30,96,985.6,989.0,982.5,NaN,NaN,NaN,60,2.2,0.5,3.07
2019-01-28,3,22.3,30.4,15.1,0.00,8.0,154,23,85,0,67,35,98,984.8,988.6,982.2,NaN,NaN,NaN,154,3.1,0.4,2.82
2019-01-29,2,22.8,30.1,16.0,0.00,8.8,234,25,79,2,68,34,96,983.8,986.4,981.8,NaN,NaN,NaN,234,3.7,1.0,2.81
2019-01-30,1,23.2,31.1,16.8,0.00,6.9,201,9,33,0,67,33,94,984.1,987.6,981.8,NaN,NaN,NaN,201,3.1,0.4,3.01
2019-01-31,0,22.8,31.9,14.7,0.00,5.4,283,0,3,0,59,25,92,984.9,988.3,982.8,NaN,NaN,NaN,283,3.0,1.5,3.52
2019-02-01,0,23.4,32.7,13.1,0.00,6.5,223,1,12,0,56,29,99,984.4,988.0,981.5,NaN,NaN,NaN,223,2.7,0.5,3.51
2019-02-02,0,24.0,32.5,17.5,0.00,9.0,187,1,8,0,57,24,79,983.2,986.1,980.5,NaN,NaN,NaN,187,4.2,0.7,3.73
2019-02-03,0,23.8,32.8,17.2,0.00,6.6,130,0,0,0,56,24,78,984.1,987.3,981.6,NaN,NaN,NaN,130,3.4,0.4,3.76
2019-02-04,0,24.1,33.0,16.9,0.00,6.7,161,0,0,0,55,29,77,984.5,987.9,981.9,NaN,NaN,NaN,161,3.6,0.4,3.55
2019-02-05,2,23.5,33.2,15.0,0.00,7.2,134,6,51,0,52,21,79,983.8,987.5,980.7,NaN,NaN,NaN,134,3.7,1.6,4.03
