latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
19.578207,100.73559,572.0,25200,Asia/Bangkok,GMT+7

time,weather_code (wmo code),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),cloud_cover_mean (%),cloud_cover_max (%),cloud_cover_min (%),relative_humidity_2m_mean (%),relative_humidity_2m_min (%),relative_humidity_2m_max (%),surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa),visibility_mean (undefined),visibility_min (undefined),visibility_max (undefined),winddirection_10m_dominant (°),wind_speed_10m_mean (km/h),wind_speed_10m_min (km/h),vapour_pressure_deficit_max (kPa)
2019-01-01,51,17.9,22.4,14.5,0.10,8.1,42,53,100,8,82,64,95,954.7,957.3,952.9,NaN,NaN,NaN,42,4.8,0.4,0.95
2019-01-02,3,18.4,24.2,14.2,0.00,8.6,20,64,100,2,78,51,95,954.2,956.9,952.1,NaN,NaN,NaN,20,6.0,3.1,1.49
2019-01-03,3,18.4,24.3,12.1,0.00,8.2,0,77,96,34,77,51,96,954.2,957.3,952.4,NaN,NaN,NaN,0,4.7,1.8,1.49
2019-01-04,3,19.1,25.9,13.5,0.00,7.4,350,78,100,27,81,54,98,953.1,956.6,951.1,NaN,NaN,NaN,350,5.0,2.3,1.53
2019-01-05,3,20.9,27.2,15.4,0.00,7.4,360,93,100,78,82,54,97,952.4,955.4,951.0,NaN,NaN,NaN,360,4.4,2.9,1.65
2019-01-06,61,21.6,26.5,17.4,2.30,5.8,36,68,100,4,88,67,97,952.2,954.5,950.8,NaN,NaN,NaN,36,2.5,0.7,1.14
2019-01-07,63,21.4,25.3,18.6,12.90,3.6,21,71,100,18,93,75,100,951.0,953.6,949.1,NaN,NaN,NaN,21,2.3,0.4,0.80
2019-01-08,63,19.6,21.4,18.3,29.90,8.6,185,98,100,92,99,91,100,949.8,951.2,947.7,NaN,NaN,NaN,185,4.4,0.4,0.22
2019-01-09,61,19.8,23.4,17.2,13.70,10.7,161,71,100,17,94,81,100,950.5,952.8,948.7,NaN,NaN,NaN,161,5.7,1.0,0.53
2019-01-10,53,20.3,24.1,18.0,4.60,9.5,149,53,100,4,93,76,100,950.2,952.6,948.7,NaN,NaN,NaN,149,3.9,0.5,0.71
2019-01-11,51,20.8,24.9,17.1,1.00,6.6,72,68,100,6,92,75,100,950.7,953.5,949.3,NaN,NaN,NaN,72,3.3,1.4,0.78
2019-01-12,53,20.9,26.2,16.9,1.20,5.6,344,98,100,95,90,68,100,950.7,953.6,948.9,NaN,NaN,NaN,344,2.8,0.8,1.10
2019-01-13,51,21.6,27.3,16.4,0.30,4.2,350,37,88,0,85,56,100,950.3,953.4,948.9,NaN,NaN,NaN,350,2.5,0.4,1.59
2019-01-14,51,21.0,26.2,15.9,1.50,6.4,73,32,100,1,85,65,99,948.6,951.6,947.3,NaN,NaN,NaN,73,3.4,1.4,1.20
2019-01-15,51,20.4,24.9,16.9,1.20,12.3,160,44,100,5,86,64,98,948.4,951.6,946.6,NaN,NaN,NaN,160,6.1,1.8,1.14
2019-01-16,61,19.9,22.9,17.5,5.90,10.7,158,55,100,3,91,74,100,949.8,952.3,947.9,NaN,NaN,NaN,158,4.2,0.8,0.74
2019-01-17,53,19.7,24.0,17.0,1.50,9.2,38,44,100,5,87,72,98,950.7,953.5,949.0,NaN,NaN,NaN,38,4.9,1.1,0.82
2019-01-18,2,19.2,24.2,14.6,0.00,7.2,92,19,67,2,82,61,100,950.8,954.2,948.9,NaN,NaN,NaN,92,5.1,3.1,1.18
2019-01-19,51,19.5,25.1,14.2,0.40,7.2,132,22,100,3,82,57,100,950.0,953.1,948.5,NaN,NaN,NaN,132,4.0,2.2,1.38
2019-01-20,3,19.9,26.0,14.1,0.00,5.4,28,20,100,1,80,51,99,949.7,953.2,947.9,NaN,NaN,NaN,28,3.4,1.8,1.63
2019-01-21,51,19.7,24.5,14.7,0.10,7.4,98,17,51,0,80,61,95,950.6,953.9,948.7,NaN,NaN,NaN,98,4.8,2.9,1.21
2019-01-22,3,20.0,24.9,16.1,0.00,9.0,119,27,81,1,81,57,99,951.4,954.6,949.9,NaN,NaN,NaN,119,5.2,2.5,1.36
2019-01-23,51,19.6,25.2,14.9,0.30,8.4,128,28,72,0,80,58,99,951.1,954.2,949.8,NaN,NaN,NaN,128,4.5,1.8,1.34
2019-01-24,51,19.6,26.3,13.9,0.10,5.4,337,23,88,0,79,48,98,950.6,953.7,948.8,NaN,NaN,NaN,337,3.2,0.5,1.78
2019-01-25,0,19.2,26.9,12.3,0.00,7.4,335,1,11,0,74,42,93,951.2,954.8,948.9,NaN,NaN,NaN,335,3.7,0.0,2.04
2019-01-26,51,19.1,25.3,13.8,0.10,6.6,50,30,100,0,74,51,89,952.8,956.1,950.5,NaN,NaN,NaN,50,4.7,2.1,1.57
2019-01-27,3,18.9,24.5,13.8,0.00,7.3,55,23,85,0,80,51,95,952.6,956.2,950.2,NaN,NaN,NaN,55,4.4,1.5,1.50
2019-01-28,3,19.5,26.0,12.8,0.00,6.9,39,21,100,0,76,45,97,951.3,955.4,949.6,NaN,NaN,NaN,39,3.9,1.4,1.86
2019-01-29,2,19.5,26.3,12.4,0.00,9.1,76,8,52,0,76,41,99,950.2,953.3,948.7,NaN,NaN,NaN,76,3.7,0.8,2.00
2019-01-30,3,20.2,26.9,13.4,0.00,9.8,157,13,92,0,74,49,94,950.3,954.0,948.1,NaN,NaN,NaN,157,4.5,0.8,1.80
2019-01-31,3,20.7,27.8,13.4,0.00,7.2,356,12,95,0,72,39,94,951.1,954.4,949.0,NaN,NaN,NaN,356,3.6,1.1,2.28
2019-02-01,3,20.8,27.6,14.5,0.00,5.9,320,23,82,0,75,44,91,951.1,955.0,949.2,NaN,NaN,NaN,320,3.4,1.3,2.05
2019-02-02,51,21.9,28.5,15.0,0.10,6.0,296,16,77,0,72,43,93,949.5,952.6,947.8,NaN,NaN,NaN,296,3.6,1.5,2.20
2019-02-03,0,22.2,29.4,15.6,0.00,7.6,334,1,5,0,69,37,94,950.1,953.3,948.2,NaN,NaN,NaN,334,3.7,1.1,2.57
2019-02-04,2,21.3,30.2,13.5,0.00,8.1,318,16,64,0,62,33,85,950.2,954.1,948.2,NaN,NaN,NaN,318,3.3,0.8,2.86
2019-02-05,0,21.3,29.5,14.6,0.00,7.2,326,0,0,0,63,29,86,949.5,953.5,947.6,NaN,NaN,NaN,326,3.9,1.6,2.90
2019-02-06,0,20.5,30.1,12.0,0.00,9.1,320,0,0,0,58,26,80,947.4,951.0,945.0,NaN,NaN,NaN,320,3.5,0.5,3.13
2019-02-07,0,22.2,30.8,14.9,0.00,9.0,315,0,1,0,56,26,80,948.7,952.1,945.9,NaN,NaN,NaN,315,4.0,1.0,3.23
2019-02-08,0,21.4,31.1,13.3,0.00,9.7,306,0,0,0,57,21,85,948.6,952.5,946.7,NaN,NaN,NaN,306,4.3,0.5,3.52
2019-02-09,0,21.6,31.1,13.1,0.00,9.0,316,0,0,0,54,25,79,948.5,952.1,945.9,NaN,NaN,NaN,316,3.7,0.4,3.30
2019-02-10,0,22.3,31.5,13.2,0.00,7.9,315,0,0,0,54,28,77,949.8,953.4,947.1,NaN,NaN,NaN,315,3.7,0.5,3.33
2019-02-11,3,22.6,30.3,14.5,0.00,9.7,142,36,94,0,61,35,83,951.4,954.8,949.3,NaN,NaN,NaN,142,5.9,2.2,2.80
2019-02-12,51,22.5,27.8,17.8,0.60,10.6,150,49,91,0,82,63,100,953.5,956.6,951.6,NaN,NaN,NaN,150,5.9,2.9,1.39
2019-02-13,51,23.0,29.8,17.6,0.20,5.2,138,30,100,0,77,44,100,952.6,955.9,950.1,NaN,NaN,NaN,138,3.2,1.4,2.36
2019-02-14,1,23.8,31.2,15.7,0.00,5.9,309,6,37,0,66,33,100,950.2,953.3,948.6,NaN,NaN,NaN,309,4.0,1.4,3.05
2019-02-15,61,23.8,29.8,18.1,1.70,9.3,176,40,91,0,73,49,93,950.2,953.4,948.4,NaN,NaN,NaN,176,5.7,1.5,2.16
2019-02-16,63,23.2,28.9,18.4,2.60,10.3,181,15,47,0,80,59,96,949.7,953.1,946.9,NaN,NaN,NaN,181,6.3,4.0,1.64
2019-02-17,61,21.2,27.0,18.5,5.60,11.5,179,53,100,0,85,62,99,947.0,950.5,943.7,NaN,NaN,NaN,179,8.4,3.4,1.35
2019-02-18,51,22.1,28.3,17.9,0.20,13.0,204,27,100,5,72,34,100,946.6,949.8,944.9,NaN,NaN,NaN,204,8.4,4.4,2.56
2019-02-19,1,22.6,29.5,17.1,0.00,13.0,224,3,26,0,64,27,94,948.7,952.1,946.2,NaN,NaN,NaN,224,5.2,0.8,3.00
2019-02-20,0,23.1,30.7,17.4,0.00,10.6,245,1,9,0,59,28,79,950.6,954.2,949.0,NaN,NaN,NaN,245,4.9,1.0,3.18
2019-02-21,0,23.0,31.3,14.8,0.00,6.8,297,0,0,0,55,26,88,950.3,954.5,948.0,NaN,NaN,NaN,297,3.2,0.5,3.37
2019-02-22,0,23.2,31.8,15.4,0.00,11.8,247,1,14,0,57,24,86,947.5,951.2,944.8,NaN,NaN,NaN,247,5.1,1.8,3.55
2019-02-23,0,24.6,32.2,16.0,0.00,9.2,243,1,12,0,51,26,83,946.5,949.8,945.0,NaN,NaN,NaN,243,4.1,0.5,3.51
2019-02-24,0,24.8,32.7,18.4,0.00,8.2,193,1,14,0,53,25,77,946.6,949.9,944.4,NaN,NaN,NaN,193,4.6,1.3,3.70
2019-02-25,1,23.8,31.5,15.8,0.00,13.6,163,4,28,0,58,37,87,946.7,950.5,944.9,NaN,NaN,NaN,163,6.6,1.5,2.92
2019-02-26,1,24.5,30.8,18.1,0.00,12.1,182,8,29,0,60,32,83,947.3,950.8,945.4,NaN,NaN,NaN,182,7.4,1.8,2.94
2019-02-27,51,24.1,31.4,17.2,0.10,9.8,249,9,77,0,65,31,100,947.1,950.3,945.0,NaN,NaN,NaN,249,5.2,0.7,3.18
