latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
15.711775,100.094246,24.0,25200,Asia/Bangkok,GMT+7

time,weather_code (wmo code),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),cloud_cover_mean (%),cloud_cover_max (%),cloud_cover_min (%),relative_humidity_2m_mean (%),relative_humidity_2m_min (%),relative_humidity_2m_max (%),surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa),visibility_mean (undefined),visibility_min (undefined),visibility_max (undefined),winddirection_10m_dominant (°),wind_speed_10m_mean (km/h),wind_speed_10m_min (km/h),vapour_pressure_deficit_max (kPa)
2019-01-01,3,24.1,28.4,20.2,0.00,12.6,84,43,98,0,61,45,79,1014.9,1017.8,1012.2,NaN,NaN,NaN,84,8.1,3.7,2.12
2019-01-02,3,23.4,28.7,18.7,0.00,13.2,50,95,100,73,68,46,87,1014.3,1017.1,1011.4,NaN,NaN,NaN,50,7.9,3.9,2.14
2019-01-03,3,24.0,29.4,19.7,0.00,11.2,30,78,99,28,66,44,87,1014.2,1017.2,1011.9,NaN,NaN,NaN,30,7.0,3.7,2.30
2019-01-04,3,24.9,29.3,21.0,0.00,8.6,350,90,100,41,65,50,77,1013.1,1016.0,1011.3,NaN,NaN,NaN,350,6.1,3.4,2.03
2019-01-05,51,25.3,28.5,22.6,1.00,7.2,38,100,100,99,73,60,86,1012.1,1014.2,1010.4,NaN,NaN,NaN,38,4.0,0.4,1.56
2019-01-06,53,26.0,30.4,22.9,0.90,10.8,358,93,100,64,76,55,94,1011.4,1013.9,1009.5,NaN,NaN,NaN,358,6.3,3.3,1.93
2019-01-07,51,26.9,32.0,22.6,0.90,11.5,64,27,81,6,72,50,93,1010.1,1012.5,1007.0,NaN,NaN,NaN,64,6.5,4.0,2.38
2019-01-08,55,26.4,30.6,22.8,5.30,14.0,182,55,100,9,81,60,96,1009.6,1011.2,1007.5,NaN,NaN,NaN,182,7.0,3.1,1.75
2019-01-09,51,26.1,30.2,22.8,0.30,6.6,16,58,100,11,84,64,99,1010.4,1012.5,1008.1,NaN,NaN,NaN,16,4.0,0.4,1.56
2019-01-10,53,26.9,30.5,23.1,1.20,8.3,336,53,94,19,79,59,97,1009.8,1011.9,1007.4,NaN,NaN,NaN,336,4.7,1.0,1.78
2019-01-11,3,27.8,31.8,23.9,0.00,9.2,353,93,98,50,73,54,93,1009.8,1012.3,1007.4,NaN,NaN,NaN,353,5.4,1.5,2.17
2019-01-12,51,27.6,31.1,24.4,0.20,9.5,346,50,97,4,74,57,92,1009.8,1012.4,1008.0,NaN,NaN,NaN,346,6.1,2.8,1.93
2019-01-13,3,27.8,32.3,23.8,0.00,8.9,4,34,91,8,71,49,94,1009.5,1012.2,1007.7,NaN,NaN,NaN,4,6.5,5.0,2.47
2019-01-14,51,28.2,32.4,24.4,0.30,6.4,349,22,74,3,67,46,88,1008.0,1010.4,1006.0,NaN,NaN,NaN,349,4.2,1.0,2.61
2019-01-15,51,28.2,31.9,24.3,0.20,7.2,144,64,99,10,68,47,92,1008.1,1010.8,1006.2,NaN,NaN,NaN,144,4.7,1.3,2.46
2019-01-16,51,27.8,31.7,24.2,0.40,8.4,80,66,100,22,66,43,90,1008.9,1011.4,1007.1,NaN,NaN,NaN,80,5.1,2.3,2.67
2019-01-17,3,27.5,32.2,23.9,0.00,13.3,88,38,97,1,59,39,79,1009.5,1012.4,1007.5,NaN,NaN,NaN,88,8.0,1.3,2.90
2019-01-18,2,26.3,30.9,22.2,0.00,17.1,103,22,53,1,55,41,70,1010.8,1014.0,1008.0,NaN,NaN,NaN,103,9.9,6.4,2.63
2019-01-19,3,25.3,28.6,22.5,0.00,6.4,168,60,100,11,64,49,81,1010.3,1012.9,1008.5,NaN,NaN,NaN,168,3.8,1.3,1.96
2019-01-20,51,27.5,32.7,21.9,0.10,7.9,8,29,90,5,62,41,91,1009.3,1012.1,1006.9,NaN,NaN,NaN,8,5.7,0.7,2.89
2019-01-21,3,27.4,32.1,23.0,0.00,10.5,51,31,100,5,61,41,87,1010.1,1013.1,1008.3,NaN,NaN,NaN,51,6.9,3.6,2.82
2019-01-22,3,27.3,31.9,24.0,0.00,16.3,107,82,98,42,56,38,76,1011.4,1014.4,1009.1,NaN,NaN,NaN,107,8.5,1.9,2.91
2019-01-23,3,26.1,31.8,21.0,0.00,8.9,126,16,93,0,58,37,83,1011.2,1014.1,1008.7,NaN,NaN,NaN,126,6.8,5.1,2.93
2019-01-24,0,26.5,31.9,19.9,0.00,9.6,116,2,8,0,53,35,86,1010.9,1013.5,1009.1,NaN,NaN,NaN,116,5.3,1.1,3.06
2019-01-25,2,26.9,33.0,20.8,0.00,9.0,70,13,68,0,53,31,91,1011.2,1013.9,1009.0,NaN,NaN,NaN,70,5.8,2.4,3.49
2019-01-26,2,26.3,31.5,21.6,0.00,17.9,96,25,77,0,50,30,78,1012.7,1015.6,1010.7,NaN,NaN,NaN,96,10.7,2.9,3.21
2019-01-27,3,25.6,30.7,20.0,0.00,15.5,76,25,96,0,50,31,75,1013.0,1016.4,1010.3,NaN,NaN,NaN,76,8.8,3.7,3.03
2019-01-28,1,25.4,31.1,19.6,0.00,9.5,29,6,39,0,53,31,89,1011.9,1015.4,1009.3,NaN,NaN,NaN,29,6.5,2.3,3.11
2019-01-29,3,26.0,31.4,18.7,0.00,9.2,28,26,94,0,53,32,91,1010.9,1013.4,1008.9,NaN,NaN,NaN,28,4.6,0.4,3.09
2019-01-30,2,26.6,32.4,19.5,0.00,10.7,17,10,69,0,54,36,85,1010.5,1013.5,1008.1,NaN,NaN,NaN,17,5.0,1.3,3.11
2019-01-31,1,26.8,33.4,20.3,0.00,9.0,4,6,31,0,59,35,90,1010.8,1013.5,1008.8,NaN,NaN,NaN,4,6.6,4.4,3.33
2019-02-01,3,27.4,32.7,22.1,0.00,13.5,90,26,100,2,55,33,83,1010.7,1013.6,1008.6,NaN,NaN,NaN,90,7.6,4.8,3.29
2019-02-02,1,28.1,33.0,22.6,0.00,8.4,115,5,24,0,53,35,76,1009.6,1012.3,1006.9,NaN,NaN,NaN,115,4.9,0.5,3.24
2019-02-03,3,28.3,34.2,22.6,0.00,8.4,151,36,83,0,60,38,92,1009.8,1012.7,1007.3,NaN,NaN,NaN,151,5.1,1.6,3.36
2019-02-04,3,29.1,35.0,23.1,0.00,7.5,328,33,90,0,58,35,84,1010.1,1013.1,1007.7,NaN,NaN,NaN,328,4.2,0.7,3.62
2019-02-05,0,28.6,35.6,23.7,0.00,10.1,334,1,13,0,57,31,84,1009.0,1012.3,1006.6,NaN,NaN,NaN,334,5.6,0.0,3.97
2019-02-06,3,29.3,35.8,24.2,0.00,13.8,180,24,100,0,63,35,98,1007.6,1010.3,1004.9,NaN,NaN,NaN,180,8.1,2.6,3.83
2019-02-07,2,29.7,34.7,24.6,0.00,11.3,171,17,79,0,65,41,96,1008.7,1011.6,1006.6,NaN,NaN,NaN,171,6.6,0.5,3.24
2019-02-08,0,29.4,35.6,23.6,0.00,9.3,354,2,11,0,61,30,95,1008.6,1011.6,1005.9,NaN,NaN,NaN,354,5.5,1.1,3.98
2019-02-09,1,29.3,35.3,23.5,0.00,10.0,60,6,22,0,57,33,83,1008.4,1011.3,1006.1,NaN,NaN,NaN,60,5.4,1.3,3.76
2019-02-10,3,29.2,34.6,24.2,0.00,7.6,31,26,90,3,57,39,84,1009.7,1012.7,1007.6,NaN,NaN,NaN,31,5.3,2.1,3.33
2019-02-11,51,29.3,34.4,25.6,0.30,14.7,170,24,88,2,69,47,89,1011.1,1013.4,1008.7,NaN,NaN,NaN,170,7.4,3.6,2.86
2019-02-12,55,27.6,31.6,24.1,2.20,11.3,28,35,98,8,79,61,97,1013.3,1016.6,1011.3,NaN,NaN,NaN,28,5.7,2.4,1.79
2019-02-13,51,28.6,33.0,24.3,0.30,8.7,351,14,36,1,71,48,96,1012.3,1014.8,1009.6,NaN,NaN,NaN,351,4.9,1.8,2.61
2019-02-14,51,28.9,33.4,24.1,0.20,8.7,177,20,75,3,68,47,94,1009.9,1012.7,1007.5,NaN,NaN,NaN,177,6.0,4.3,2.71
2019-02-15,51,28.5,33.5,25.1,1.00,17.2,173,58,85,15,71,47,91,1010.1,1012.8,1007.9,NaN,NaN,NaN,173,8.4,3.0,2.76
2019-02-16,61,28.3,33.0,25.2,2.50,13.8,185,44,86,19,72,48,87,1010.0,1012.7,1007.3,NaN,NaN,NaN,185,8.3,4.4,2.61
2019-02-17,61,27.0,32.1,23.4,7.10,14.5,177,37,96,2,78,51,97,1008.5,1011.6,1005.4,NaN,NaN,NaN,177,7.1,1.5,2.35
2019-02-18,2,27.5,33.3,22.5,0.00,12.8,186,6,55,0,65,33,96,1007.8,1010.9,1005.4,NaN,NaN,NaN,186,8.1,4.6,3.43
2019-02-19,51,27.6,32.1,23.0,0.20,12.6,180,13,46,0,69,48,92,1009.3,1012.1,1007.1,NaN,NaN,NaN,180,6.9,3.2,2.49
2019-02-20,1,28.3,33.4,23.4,0.00,10.7,155,9,44,0,66,43,91,1010.8,1013.5,1008.2,NaN,NaN,NaN,155,5.7,1.3,2.93
2019-02-21,1,28.9,34.4,23.6,0.00,9.0,172,5,29,0,59,38,87,1010.3,1013.7,1007.6,NaN,NaN,NaN,172,5.3,1.8,3.37
2019-02-22,1,29.4,35.5,24.0,0.00,10.0,171,4,23,0,59,35,92,1007.7,1010.8,1005.2,NaN,NaN,NaN,171,5.4,1.1,3.74
2019-02-23,1,29.4,35.6,23.1,0.00,9.4,183,3,23,0,58,32,92,1006.6,1009.4,1003.9,NaN,NaN,NaN,183,6.0,1.1,3.90
2019-02-24,2,29.2,35.7,23.4,0.00,11.3,162,6,58,0,61,35,98,1006.5,1009.4,1003.7,NaN,NaN,NaN,162,6.2,0.4,3.78
2019-02-25,3,30.1,35.9,25.0,0.00,17.3,174,15,82,0,63,36,97,1006.7,1009.6,1003.9,NaN,NaN,NaN,174,11.2,6.1,3.76
2019-02-26,51,30.1,35.2,25.8,0.10,17.5,172,17,44,2,62,37,88,1007.1,1010.2,1004.4,NaN,NaN,NaN,172,10.6,2.1,3.54
2019-02-27,51,29.4,33.4,25.5,0.60,13.3,180,39,87,8,63,46,85,1006.6,1008.9,1004.2,NaN,NaN,NaN,180,8.3,3.4,2.76
2019-02-28,51,29.8,33.8,26.0,0.10,14.5,186,33,74,5,60,41,81,1006.1,1008.6,1003.7,NaN,NaN,NaN,186,7.7,3.1,3.08
2019-03-01,51,30.2,35.2,25.6,0.10,13.7,175,25,82,2,59,38,86,1006.6,1009.7,1003.8,NaN,NaN,NaN,175,6.5,0.4,3.51
2019-03-02,3,30.6,36.0,25.8,0.00,14.9,177,33,86,2,58,36,92,1005.0,1008.2,1001.9,NaN,NaN,NaN,177,8.6,2.8,3.75
2019-03-03,3,30.7,36.6,26.1,0.00,16.0,169,26,89,0,60,28,91,1004.1,1007.4,1001.2,NaN,NaN,NaN,169,7.2,1.0,4.38
2019-03-04,3,31.1,37.1,25.5,0.00,17.5,189,51,96,0,53,24,96,1004.0,1007.2,1001.2,NaN,NaN,NaN,189,11.4,5.4,4.80
